Title,clean_synopsis
Star Trek: Section 31,emperor philippa georgiou join secret division starfleet tasked protecting united federation planet face sin past
Kraven the Hunter,kraven kravinoff complex relationship ruthless gangster father nikolai start path vengeance brutal consequence motivating become greatest hunter world also one feared
Phineas and Ferb The Movie: Across the 2nd Dimension,phineas ferb get trapped alternate dimension evil doofenshmirtz rule tri state area must find way back home help pet platypus named perry discover secret agent
Spider-Man: No Way Home,peter parker unmasked longer able separate normal life high stake super hero asks help doctor strange stake become even dangerous forcing discover truly mean spider man
Everything Everywhere All at Once,aging chinese immigrant swept insane adventure alone save important connecting life could led universe
Bad Boys: Ride or Die,late former captain framed lowrey burnett try clear name end run
xXx: Return of Xander Cage,xander cage left dead incident though secretly return action new tough assignment handler augustus gibbon
Jason Bourne,dangerous former operative cia drawn hiding uncover hidden truth past
Ballerina,paris young orphan dream becoming ballerina flees rural brittany paris pass someone else accedes position pupil grand opera house
The Amazing Spider-Man,peter parker outcast high schooler abandoned parent boy leaving raised uncle ben aunt may like teenager peter trying figure got person today peter discovers mysterious briefcase belonged father begin quest understand parent disappearance leading directly oscorp lab dr curt connors father former partner spider man set collision course connors alter ego lizard peter make life altering choice use power shape destiny become hero
The Wandering Earth II,human built huge engine surface earth find new home road universe perilous order save earth young people step forward start race time life death
Ice Age,impending ice age almost upon mismatched trio prehistoric critter manny woolly mammoth diego saber toothed tiger sid giant sloth find orphaned infant decide return human parent along way unlikely ally become friend enemy attack quest take far nobler aim
A Bug's Life,behalf oppressed bug everywhere inventive ant named flik hire troupe warrior bug defend bustling colony horde freeloading grasshopper led evil minded hopper
Gladiator,death emperor marcus aurelius devious son take power demotes maximus one rome capable general marcus preferred eventually maximus forced become gladiator battle death men amusement paying audience
Van Helsing,famed monster slayer gabriel van helsing dispatched transylvania assist last valerious bloodline defeating count dracula anna valerious reveals dracula formed unholy alliance dr frankenstein monster hell bent exacting century old curse family
Sherlock Holmes,eccentric consulting detective sherlock holmes doctor john watson battle bring new nemesis unravel deadly plot could destroy england
The Incredibles,bob parr given superhero day log time insurance adjuster raise three child formerly heroic wife suburbia receives mysterious assignment time get back costume
The Count of Monte Cristo,edmond dante becomes target sinister plot arrested wedding day crime commit year island prison ch teau manages daring escape rich beyond dream assumes identity count monte cristo exacts revenge three men betrayed
Tangled,feisty teenager rapunzel long magical hair want go see sky lantern eighteenth birthday bound tower overprotective mother strike deal flynn rider charming wanted thief duo set action packed escapade
Ben-Hur,ad judah ben hur jew ancient judea opposes occupying roman empire falsely accused roman childhood friend turned overlord trying kill roman governor put slavery mother sister taken away prisoner
The Goonies,young teen mikey walsh friend set quest find pirate one eyed willie treasure hope saving home demolition
GoldenEye,powerful satellite system fall hand alec trevelyan aka agent former ally turned enemy james bond save world dangerous space weapon one short pulse could destroy earth bond square former compatriot also battle xenia onatopp assassin us pleasure ultimate weapon
Toy Story,led woody andy toy live happily room andy birthday brings buzz lightyear onto scene afraid losing place andy heart woody plot buzz circumstance separate buzz woody owner duo eventually learns put aside difference
Journey 2: The Mysterious Island,sean anderson partner mom boyfriend mission find grandfather thought missing mythical island
The Incredible Hulk,scientist bruce banner scour planet antidote unbridled force rage within hulk military mastermind dream exploiting power force back civilization find coming face face new deadly foe
Black Panther,king challa return home reclusive technologically advanced african nation wakanda serve country new leader however challa soon find challenged throne faction within country well without using power reserved wakandan king challa assumes black panther mantle join ex girlfriend nakia queen mother princess kid sister member dora milaje wakandan special force american secret agent prevent wakanda dragged world war
Godzilla vs. Kong,time monster walk earth humanity fight future set godzilla kong collision course see two powerful force nature planet collide spectacular battle age
The Prince of Egypt,strong bond two brother challenged chosen responsibility set odds extraordinary consequence
